dt,symbol,open,high,low,close,volume,vwap,is_trading_day
2024-03-04,2330.tw,714.0,725.0,711.0,725.0,88861397,720.333333,1
2024-03-05,2330.tw,735.0,738.0,728.0,730.0,64403889,732.0,1
2024-03-06,2330.tw,718.0,738.0,717.0,735.0,43687122,730.0,1
2024-03-07,2330.tw,755.0,769.0,754.0,760.0,71817344,761.0,1
2024-03-08,2330.tw,795.0,796.0,772.0,784.0,87139744,784.0,1
2024-03-11,2330.tw,768.0,778.0,761.0,766.0,64759810,768.333333,1
2024-03-12,2330.tw,757.0,771.0,754.0,770.0,58110339,765.0,1
2024-03-13,2330.tw,785.0,785.0,777.0,779.0,36754557,780.333333,1
2024-03-14,2330.tw,779.0,785.0,770.0,784.0,42010806,779.666667,1
2024-03-15,2330.tw,771.0,777.0,753.0,753.0,73316437,761.0,1
2024-03-18,2330.tw,754.0,765.0,754.0,764.0,43589856,761.0,1
2024-03-19,2330.tw,758.0,765.0,755.0,762.0,30152375,760.666667,1
2024-03-20,2330.tw,764.0,769.0,752.0,758.0,41280325,759.666667,1
2024-03-21,2330.tw,773.0,784.0,772.0,784.0,46026103,780.0,1
2024-03-22,2330.tw,788.0,789.0,775.0,785.0,30660820,783.0,1
2024-03-25,2330.tw,783.0,788.0,779.0,780.0,19877101,782.333333,1
2024-03-26,2330.tw,788.0,792.0,776.0,782.0,40990702,783.333333,1
2024-03-27,2330.tw,785.0,785.0,779.0,779.0,18794479,781.0,1
2024-03-28,2330.tw,774.0,776.0,768.0,769.0,27190918,771.0,1
2024-03-29,2330.tw,769.0,777.0,768.0,776.0,9802000,773.666667,1
2024-04-01,2330.tw,783.0,783.0,769.0,770.0,21041261,774.0,1
2024-04-02,2330.tw,784.0,790.0,783.0,790.0,37974481,787.666667,1
2024-04-03,2330.tw,783.0,785.0,778.0,780.0,30890544,781.0,1
2024-04-08,2330.tw,789.0,792.0,783.0,783.0,32202226,786.0,1
2024-04-09,2330.tw,795.0,820.0,792.0,819.0,56857731,810.333333,1
2024-04-10,2330.tw,815.0,819.0,810.0,815.0,27480849,814.666667,1
2024-04-11,2330.tw,811.0,820.0,811.0,820.0,25200651,817.0,1
2024-04-12,2330.tw,823.0,826.0,817.0,818.0,31508936,820.333333,1
2024-04-15,2330.tw,804.0,812.0,803.0,806.0,38913470,807.0,1
2024-04-16,2330.tw,802.0,803.0,785.0,788.0,49508969,792.0,1
2024-04-17,2330.tw,798.0,808.0,793.0,804.0,34472074,801.666667,1
2024-04-18,2330.tw,796.0,810.0,792.0,804.0,43598591,802.0,1
2024-04-19,2330.tw,769.0,770.0,746.0,750.0,130968654,755.333333,1
2024-04-22,2330.tw,740.0,757.0,740.0,742.0,46540798,746.333333,1
